advising_requisite_code	core_literature_requirement	course_catalog_text	course_code	course_code_number	course_code_prefix	course_code_sanitized	course_fees	course_title	default_credit_hours	division_code	fee_type	fixed_variable_credit	max_credit_hours	min_credit_hourse
EDU270	Y	Analyzes and applies theory for teaching math PreK�8. Field experience required. Materials fee.  Prerequisite: concurrent enrollment in MAT205 or 206.	EDU  270                      	270	EDU	EDU-270	0	MATH METHODS	3	UG	Y	V	3	3
EDU400	Y	Level PreK�6 or 5�12. Materials fee.	EDU  400                      	400	EDU	EDU-400	0	TEACHING ENGLISH AS SECOND LANG PRA	6	UG	Y	V	8	0
MUS093	Y	NULL	MUS  093                      	93	MUS	MUS-093	0	WOODWIND CLASS	1	UG	Y	F	1	1
EDU300	NULL	Introduces current theories of language acquisition; models of language instruction and literacy development.  Course is a prerequisite for EDU400 .	EDU  300                      	300	EDU	EDU-300	0	THEORIES OF LANGUAGE ACQUISITION	2	UG	NULL	F	2	2
PHI413	NULL	Studies nature of and warrants for metaphysical systems. Includes several major topics.	PHI  413                      	413	PHI	PHI-413	0	METAPHYSICS	4	UG	NULL	F	4	4
PSY271	NULL	NULL	PSY  271                      	271	PSY	PSY-271	0	SEL TOP:	4	UG	NULL	V	4	2
THT235	NULL	Explores actor�s role; emphasizes technique, characterization, movement and critical analysis.	THT  235                      	235	THT	THT-235	0	FUNDAMENTALS OF ACTING	4	UG	NULL	F	4	4
ART115	NULL	Establishes common concepts of composition, design and color, the elements and principles of art, and conceptual approaches to reading and understanding artworks as texts. Regular readings and responses will set the stage for art students to approach the major with a common base of knowledge, language and understanding. Exercises on composition and color theory will constitute the bulk of the studio elements of the course. Lab Fee    Prerequisite(s): Art major or art minor.	ART  115                      	115	ART	ART-115	0	PRINCIPLES AND PRACTICUM	2	UG	NULL	F	2	2
ART116	NULL	Exploration of the habits and best practices of drawing/engaging/seeing using the traditional artists� tool, the sketchbook. Primarily observation based, with elements of conceptual development and collage. Lab fee.  	ART  116                      	116	ART	ART-116	0	SKETCHBOOK PROCESS AND PRACTICE	2	UG	NULL	F	2	2
ART150	NULL	Surveys development of art from cave painting through early Renaissance. Includes Western painting, sculpture and  architecture as well as parallel non-Western developments. Fulfills core Aesthetic Sensibilities and Practices theme.	ART  150                      	150	ART	ART-150	0	ART HISTORY: CAVE ART TO MEDIEVAL	4	UG	NULL	F	4	4
ART151	NULL	Continues overview of developments in Western painting, sculpture, architecture and craft from Early Renaissance to 20th century as well as parallel non-Western developments. Fulfills core Aesthetic Sensibilities and Practices theme.	ART  151                      	151	ART	ART-151	0	ART HISTORY:RENAISSANCE TO MODERN	4	UG	NULL	F	4	4
ART152	NULL	Investigates conversation between many cultures and styles that have taken American art from its emergence in the Americas about five thousand years ago, to its position in European art world during colonial and post-colonial times, to final recognition of America as a modern global art leader.  Fulfills core Aesthetic Sensibilities and Practices theme. (Offered online Summer term only.)  	ART  152                      	152	ART	ART-152	0	AMERICAN ART HIST CULTURAL ENCNTER	4	UG	NULL	F	4	4
ART202	Y	Drawing from human figure; studies in anatomy; continuous use of live model; daily exercises and long-range projects. Prerequisite: Major, ART102 or permission of instructor. Model fee.    	ART  202                      	202	ART	ART-202	0	LIFE DRAWING	4	UG	Y	F	4	4
ART205	NULL	This course is a studio-based three-dimensional exploration into physical, spatial, and temporal work employing a wide a range of materials and processes including paper, glass, textiles, metal, plastics, and various repurposed objects. The one constant at the core of these studies will be the invention of multiple constructed sculptural forms while concentrating on connections, dynamic movement, and site specificity. Lab fee.	ART  205                      	205	ART	ART-205	0	SPATIAL DYNAMICS: 101 MATERIALS	4	UG	NULL	F	4	4
ART210	Y	Introduces oil painting methods and materials. Projects include still life, self-portrait, compositional studies. Lab fee.	ART  210                      	210	ART	ART-210	0	INTRODUCTION TO PAINTING	4	UG	Y	F	4	4
ART215	Y	Explores printmaking media, brief lectures/demonstrations and guidance on individual projects.  Techniques include linoleum prints, woodcuts, monotypes, drypoint and engraving.  Students explore process of developing individual thematic approach.  Lab fee.  Prerequisites: ART 102 or ART 115 and 116, major or permission of instructor.	ART  215                      	215	ART	ART-215	0	INTRODUCTION TO PRINTMAKING	4	UG	Y	F	4	4
